Cliente,Latitude,Longitude,Peso_Carga_KG,Janela_Horario,Hub_Regional
Cliente_Be_030,-19.874518181820534,-44.08373212723538,681,08:00-18:00,Belo Horizonte
Cliente_Be_031,-19.802670013172246,-43.86824552552375,979,08:00-18:00,Belo Horizonte
Cliente_Be_032,-19.989525824168208,-43.55062716841886,541,08:00-18:00,Belo Horizonte
Cliente_Be_033,-19.943333494730297,-43.768098588905396,120,08:00-18:00,Belo Horizonte
Cliente_Be_034,-19.853619111768968,-44.01013296784627,1098,08:00-18:00,Belo Horizonte
Cliente_Be_035,-20.02027257414727,-44.17408658458506,235,08:00-18:00,Belo Horizonte
Cliente_Be_036,-19.905016253440547,-44.08329845326544,1152,08:00-18:00,Belo Horizonte
Cliente_Be_037,-20.038826191980174,-43.98625353902094,1121,08:00-18:00,Belo Horizonte
Cliente_Be_038,-20.080852384565084,-44.01926362425849,1333,08:00-18:00,Belo Horizonte
Cliente_Be_039,-19.965107106118115,-44.041804821058975,307,08:00-18:00,Belo Horizonte
Cliente_Be_040,-19.855145478568126,-43.850083967020446,1424,08:00-18:00,Belo Horizonte
Cliente_Be_041,-19.64671186455924,-43.790779151498676,1230,08:00-18:00,Belo Horizonte
Cliente_Be_042,-20.173808782489576,-44.19225588076903,856,08:00-18:00,Belo Horizonte
Cliente_Be_043,-19.779286458657598,-44.06364586848654,1294,08:00-18:00,Belo Horizonte
Cliente_Be_044,-19.988096544255825,-44.04225706935303,709,08:00-18:00,Belo Horizonte
Cliente_Be_045,-19.73980244672721,-43.8388166346496,458,08:00-18:00,Belo Horizonte
Cliente_Be_046,-19.968550691533643,-43.76567664979949,180,08:00-18:00,Belo Horizonte
Cliente_Be_047,-19.84504108678041,-44.075981434776146,525,08:00-18:00,Belo Horizonte
Cliente_Be_048,-19.924515189391396,-44.10347329349059,1247,08:00-18:00,Belo Horizonte
Cliente_Be_049,-19.861352115096196,-43.841791862302955,1442,08:00-18:00,Belo Horizonte
Cliente_Be_050,-20.002058449524963,-43.950247010631884,1314,08:00-18:00,Belo Horizonte
Cliente_Be_051,-19.834594006349075,-43.88757118391148,54,08:00-18:00,Belo Horizonte
Cliente_Be_052,-19.946223399649842,-43.730748015946155,440,08:00-18:00,Belo Horizonte
Cliente_Be_053,-19.783079627769414,-43.873486891550215,266,08:00-18:00,Belo Horizonte
Cliente_Be_054,-19.723259888109364,-44.067737956791774,970,08:00-18:00,Belo Horizonte
Cliente_Be_055,-19.786451333725573,-44.16200237685306,559,08:00-18:00,Belo Horizonte
Cliente_Be_056,-19.91797168851031,-43.71034480986863,1049,08:00-18:00,Belo Horizonte
Cliente_Be_057,-19.79554849903213,-44.00315583587651,61,08:00-18:00,Belo Horizonte
Cliente_Be_058,-20.014315593306463,-44.08933698986148,678,08:00-18:00,Belo Horizonte
Cliente_Be_059,-19.832476918680722,-43.95676545617456,392,08:00-18:00,Belo Horizonte
Cliente_Be_060,-19.844850953285416,-43.878084025465434,1028,08:00-18:00,Belo Horizonte
Cliente_Be_061,-19.863070368490455,-43.900468083405244,515,08:00-18:00,Belo Horizonte
Cliente_Be_062,-19.900227868013634,-43.964620176516526,640,08:00-18:00,Belo Horizonte
Cliente_Be_063,-20.088997812294988,-43.932265727099725,1039,08:00-18:00,Belo Horizonte
Cliente_Be_064,-19.821239457555972,-44.11218037522382,196,08:00-18:00,Belo Horizonte
Cliente_Be_065,-19.95854729508391,-43.804774492655994,1410,08:00-18:00,Belo Horizonte
Cliente_Be_066,-19.739833586035065,-43.957291903829805,88,08:00-18:00,Belo Horizonte
Cliente_Be_067,-20.06315014638225,-44.031545615542605,546,08:00-18:00,Belo Horizonte
Cliente_Be_068,-19.71096222448488,-43.80978799310135,920,08:00-18:00,Belo Horizonte
Cliente_Be_069,-19.923164852249503,-43.92394929245773,700,08:00-18:00,Belo Horizonte
Cliente_Be_070,-19.965000108647338,-44.08969818290537,695,08:00-18:00,Belo Horizonte
Cliente_Be_071,-19.90405702858578,-43.90034258395179,559,08:00-18:00,Belo Horizonte
Cliente_Be_072,-19.867238485692695,-43.928287587384766,464,08:00-18:00,Belo Horizonte
Cliente_Be_073,-19.75946388298461,-43.95387175139951,658,08:00-18:00,Belo Horizonte
Cliente_Be_074,-19.694640712295318,-43.73330851770441,1231,08:00-18:00,Belo Horizonte
Cliente_Be_075,-20.12455275737074,-43.83892917877409,956,08:00-18:00,Belo Horizonte
Cliente_Be_076,-20.08677245888897,-43.90288071561121,320,08:00-18:00,Belo Horizonte
Cliente_Be_077,-19.87621851548956,-44.036215863792314,935,08:00-18:00,Belo Horizonte
Cliente_Be_078,-19.847310038445652,-44.031738630278056,340,08:00-18:00,Belo Horizonte
Cliente_Be_079,-19.89988839886484,-43.85915607582819,557,08:00-18:00,Belo Horizonte
Cliente_Be_080,-20.138834402783175,-44.09983650077115,1471,08:00-18:00,Belo Horizonte
Cliente_Be_081,-19.74487828173865,-44.23015799844993,1297,08:00-18:00,Belo Horizonte
Cliente_Be_082,-19.82919382156641,-43.897966636151764,202,08:00-18:00,Belo Horizonte
Cliente_Be_083,-20.011664778514653,-43.987788781981244,1122,08:00-18:00,Belo Horizonte
Cliente_Be_084,-19.839390317331194,-43.67737741555721,1159,08:00-18:00,Belo Horizonte
Cliente_Be_085,-19.751853128341704,-44.270650929950975,362,08:00-18:00,Belo Horizonte
Cliente_Be_086,-19.93544226379863,-43.83559260730138,1375,08:00-18:00,Belo Horizonte
Cliente_Be_087,-19.953599538595167,-43.819480950350275,559,08:00-18:00,Belo Horizonte
Cliente_Be_088,-19.966605841983366,-44.13798766850515,1269,08:00-18:00,Belo Horizonte
Cliente_Be_089,-19.782104873932045,-43.82913102654937,537,08:00-18:00,Belo Horizonte
Cliente_Be_090,-19.71501219756589,-43.85584928200478,292,08:00-18:00,Belo Horizonte
Cliente_Be_091,-19.91163849864049,-43.994735625857786,451,08:00-18:00,Belo Horizonte
Cliente_Be_092,-19.88329079948729,-44.03427427568347,376,08:00-18:00,Belo Horizonte
Cliente_Be_093,-19.73548048841387,-44.20937649895868,1307,08:00-18:00,Belo Horizonte
Cliente_Be_094,-19.75343118707013,-43.86844858672185,1252,08:00-18:00,Belo Horizonte
Cliente_Be_095,-20.05798654853842,-43.83811827957075,1204,08:00-18:00,Belo Horizonte
Cliente_Be_096,-19.91998376697408,-44.02055730422141,1240,08:00-18:00,Belo Horizonte
Cliente_Be_097,-19.692848867732025,-43.84479660772074,1134,08:00-18:00,Belo Horizonte
Cliente_Be_098,-19.853737953724693,-43.611018827944186,1100,08:00-18:00,Belo Horizonte
Cliente_Be_099,-20.026084553718462,-44.16619394402244,506,08:00-18:00,Belo Horizonte
Cliente_Be_100,-19.75302646344325,-44.044309013968785,1269,08:00-18:00,Belo Horizonte
Cliente_Be_101,-19.62617510501858,-43.98138167112607,1231,08:00-18:00,Belo Horizonte
Cliente_Be_102,-19.840574427666894,-44.01373605733016,1167,08:00-18:00,Belo Horizonte
Cliente_Be_103,-19.782544405630873,-43.93535596102629,762,08:00-18:00,Belo Horizonte
Cliente_Be_104,-20.00905986218403,-43.93160018321789,533,08:00-18:00,Belo Horizonte
Cliente_Be_105,-19.759257032021615,-43.868203536390304,412,08:00-18:00,Belo Horizonte
Cliente_Be_106,-20.194289470754523,-43.82405153083239,1385,08:00-18:00,Belo Horizonte
Cliente_Be_107,-19.61329889076264,-43.80528972519616,688,08:00-18:00,Belo Horizonte
Cliente_Be_108,-19.85081949040128,-43.73855986622871,1227,08:00-18:00,Belo Horizonte
Cliente_Be_109,-20.14298824552819,-43.910218196752005,1217,08:00-18:00,Belo Horizonte
Cliente_Be_110,-19.744072148805422,-43.697531055786236,943,08:00-18:00,Belo Horizonte
Cliente_Be_111,-19.771389365605845,-44.21782381135782,1299,08:00-18:00,Belo Horizonte
Cliente_Be_112,-20.047756402073777,-44.23440891030359,57,08:00-18:00,Belo Horizonte
Cliente_Be_113,-19.84808840925679,-43.83244267260108,1275,08:00-18:00,Belo Horizonte
Cliente_Be_114,-19.880970714547832,-43.861129993406664,545,08:00-18:00,Belo Horizonte
Cliente_Be_115,-19.851477197177175,-43.99084460997031,1078,08:00-18:00,Belo Horizonte
Cliente_Be_116,-20.0891352018412,-44.14098932493591,1158,08:00-18:00,Belo Horizonte
Cliente_Be_117,-19.505937191916903,-43.76079717194428,326,08:00-18:00,Belo Horizonte
Cliente_Be_118,-20.167403961487437,-43.84968982880259,846,08:00-18:00,Belo Horizonte
Cliente_Be_119,-19.48269477097383,-43.936600940750346,395,08:00-18:00,Belo Horizonte
Cliente_Be_120,-19.817459073673074,-44.02549248764957,1257,08:00-18:00,Belo Horizonte
Cliente_Be_121,-19.96963962376179,-44.11027324850325,231,08:00-18:00,Belo Horizonte
Cliente_Be_122,-19.925304001438356,-43.93506183559025,173,08:00-18:00,Belo Horizonte
Cliente_Be_123,-19.98856419785078,-44.08191563661179,731,08:00-18:00,Belo Horizonte
Cliente_Be_124,-20.101167215708628,-43.91204536047422,1279,08:00-18:00,Belo Horizonte
Cliente_Be_125,-19.935145227632137,-44.10975586490636,274,08:00-18:00,Belo Horizonte
Cliente_Be_126,-20.26386533288727,-44.0193503629845,1254,08:00-18:00,Belo Horizonte
Cliente_Be_127,-19.841603180584276,-43.87344215774942,345,08:00-18:00,Belo Horizonte
Cliente_Be_128,-19.813493992077962,-43.87615785231798,270,08:00-18:00,Belo Horizonte
Cliente_Be_129,-19.95363425473534,-43.82769958955456,149,08:00-18:00,Belo Horizonte
Cliente_Be_130,-20.218256317161842,-43.95582662443631,51,08:00-18:00,Belo Horizonte
Cliente_Be_131,-19.89836823661426,-44.11462973267361,1345,08:00-18:00,Belo Horizonte
Cliente_Be_132,-19.784100751116984,-43.96571467801602,1072,08:00-18:00,Belo Horizonte
Cliente_Be_133,-19.943177244909077,-44.08406250441515,210,08:00-18:00,Belo Horizonte
Cliente_Be_134,-19.744659923342713,-43.82674022150109,528,08:00-18:00,Belo Horizonte
Cliente_Be_135,-19.917881609771623,-44.11604872264789,1346,08:00-18:00,Belo Horizonte
Cliente_Be_136,-19.987703481176162,-43.96995040761832,1139,08:00-18:00,Belo Horizonte
Cliente_Be_137,-19.75100548895227,-44.01437180060358,676,08:00-18:00,Belo Horizonte
Cliente_Be_138,-20.060166717245334,-44.01153898767204,909,08:00-18:00,Belo Horizonte
Cliente_Be_139,-19.814678325663284,-43.97235455288701,597,08:00-18:00,Belo Horizonte
Cliente_Be_140,-19.66512989653495,-43.88639508790341,411,08:00-18:00,Belo Horizonte
Cliente_Be_141,-19.9720314434536,-44.12341726890419,209,08:00-18:00,Belo Horizonte
Cliente_Be_142,-19.979454172136446,-44.03166660482169,789,08:00-18:00,Belo Horizonte
Cliente_Be_143,-19.970594791022744,-43.90587046484588,888,08:00-18:00,Belo Horizonte
Cliente_Be_144,-19.81720084458098,-43.91235937751583,764,08:00-18:00,Belo Horizonte
Cliente_Be_145,-20.018281644101368,-43.88756765194234,1382,08:00-18:00,Belo Horizonte
Cliente_Be_146,-19.77650674337036,-43.70868775643679,374,08:00-18:00,Belo Horizonte
Cliente_Be_147,-19.991985743848435,-44.21461946710576,1245,08:00-18:00,Belo Horizonte
Cliente_Be_148,-19.728037181961486,-43.990609307191335,1426,08:00-18:00,Belo Horizonte
Cliente_Be_149,-19.739765352355374,-43.97037807483433,1208,08:00-18:00,Belo Horizonte
Cliente_Be_150,-20.15620659102586,-44.16251085357049,276,08:00-18:00,Belo Horizonte
Cliente_Be_151,-19.861101845560277,-43.685663151438945,872,08:00-18:00,Belo Horizonte
Cliente_Be_152,-19.945513729028068,-43.92970316891691,1075,08:00-18:00,Belo Horizonte
Cliente_Be_153,-19.86277070366273,-43.718904285743506,335,08:00-18:00,Belo Horizonte
Cliente_Be_154,-19.975452586907757,-43.95692456564152,735,08:00-18:00,Belo Horizonte
Cliente_Be_155,-20.28716856681021,-43.68320642310476,688,08:00-18:00,Belo Horizonte
Cliente_Be_156,-19.836003783110403,-43.969106253366164,1129,08:00-18:00,Belo Horizonte
Cliente_Be_157,-19.866723747241213,-44.023898033958126,516,08:00-18:00,Belo Horizonte
Cliente_Be_158,-19.618738217225705,-43.98478188540698,503,08:00-18:00,Belo Horizonte
Cliente_Be_159,-19.942637666874422,-44.15173428319687,225,08:00-18:00,Belo Horizonte
Cliente_Be_160,-19.965623996239422,-44.15727554188732,273,08:00-18:00,Belo Horizonte
Cliente_Be_161,-19.82987770518366,-43.89242235219916,1218,08:00-18:00,Belo Horizonte
Cliente_Be_162,-20.05821885454153,-44.08568522769997,593,08:00-18:00,Belo Horizonte
Cliente_Be_163,-20.010896458462305,-43.85831634177538,808,08:00-18:00,Belo Horizonte
Cliente_Be_164,-20.180157210800914,-44.14225802330769,892,08:00-18:00,Belo Horizonte
Cliente_Be_165,-19.884017733694503,-43.90697799785748,1449,08:00-18:00,Belo Horizonte
Cliente_Be_166,-19.999138672172236,-43.85276933229017,1061,08:00-18:00,Belo Horizonte
Cliente_Be_167,-20.046988000638375,-43.6325389338231,539,08:00-18:00,Belo Horizonte
Cliente_Be_168,-19.87111447116285,-44.13813090731164,1330,08:00-18:00,Belo Horizonte
Cliente_Be_169,-19.755589795271423,-43.868356046388264,202,08:00-18:00,Belo Horizonte
Cliente_Be_170,-19.843210882904053,-43.60622065721489,217,08:00-18:00,Belo Horizonte
Cliente_Be_171,-19.91629706957295,-43.69581519975418,1455,08:00-18:00,Belo Horizonte
Cliente_Be_172,-19.89740442432612,-43.671484485243035,635,08:00-18:00,Belo Horizonte
Cliente_Be_173,-19.817259509075512,-43.83852038043313,308,08:00-18:00,Belo Horizonte
Cliente_Be_174,-19.97307361892092,-43.74351592263573,448,08:00-18:00,Belo Horizonte
Cliente_Be_175,-20.0766750689572,-43.98659418366252,524,08:00-18:00,Belo Horizonte
Cliente_Be_176,-19.839661412459634,-43.90778423631673,1064,08:00-18:00,Belo Horizonte
Cliente_Be_177,-19.926928860128186,-43.9751476281933,167,08:00-18:00,Belo Horizonte
Cliente_Be_178,-19.81440539534967,-44.196640405618595,1451,08:00-18:00,Belo Horizonte
Cliente_Be_179,-19.81960604322108,-44.110497819218175,446,08:00-18:00,Belo Horizonte
Cliente_Be_180,-19.982295637468372,-43.92231651972963,256,08:00-18:00,Belo Horizonte
Cliente_Be_181,-19.79580315314351,-44.04617637611629,280,08:00-18:00,Belo Horizonte
Cliente_Be_182,-19.98511474980303,-43.95266705014529,980,08:00-18:00,Belo Horizonte
Cliente_Be_183,-19.752874349076368,-44.06574034351989,480,08:00-18:00,Belo Horizonte
Cliente_Be_184,-19.619542102782656,-43.992190903219914,548,08:00-18:00,Belo Horizonte
Cliente_Be_185,-20.081133406417507,-43.907882766955204,1257,08:00-18:00,Belo Horizonte
Cliente_Be_186,-19.865809011891123,-44.01712072266796,76,08:00-18:00,Belo Horizonte
Cliente_Be_187,-19.99171359135163,-44.02030867451955,1241,08:00-18:00,Belo Horizonte
Cliente_Be_188,-20.068315793750724,-43.8957244168583,668,08:00-18:00,Belo Horizonte
Cliente_Be_189,-19.735756287837557,-43.97361349113655,1211,08:00-18:00,Belo Horizonte
Cliente_Be_190,-19.57202367222043,-44.17712012993082,968,08:00-18:00,Belo Horizonte
Cliente_Be_191,-19.754817061067097,-43.80668861286413,1353,08:00-18:00,Belo Horizonte
Cliente_Be_192,-20.215999348475687,-43.82131577074238,942,08:00-18:00,Belo Horizonte
Cliente_Be_193,-19.74536462156554,-43.91767258473102,525,08:00-18:00,Belo Horizonte
Cliente_Be_194,-19.8975419478861,-43.950699273320744,929,08:00-18:00,Belo Horizonte
Cliente_Be_195,-20.29825966482739,-43.94327852663661,740,08:00-18:00,Belo Horizonte
Cliente_Be_196,-19.7323206918905,-44.12722506174943,1212,08:00-18:00,Belo Horizonte
Cliente_Be_197,-19.97296661836896,-44.00082633957322,1156,08:00-18:00,Belo Horizonte
Cliente_Be_198,-19.931997016583644,-43.88636417938367,689,08:00-18:00,Belo Horizonte
Cliente_Be_199,-19.87619373582609,-43.72488125870527,343,08:00-18:00,Belo Horizonte
Cliente_Be_200,-19.807857258050916,-43.930630783517444,671,08:00-18:00,Belo Horizonte
Cliente_Be_201,-19.78609798459201,-43.948313548751436,1108,08:00-18:00,Belo Horizonte
Cliente_Be_202,-19.712162842511017,-43.80712218366669,807,08:00-18:00,Belo Horizonte
Cliente_Be_203,-19.848740129151956,-44.27565472990673,247,08:00-18:00,Belo Horizonte
Cliente_Be_204,-19.87490882709275,-43.97041535064612,452,08:00-18:00,Belo Horizonte
Cliente_Be_205,-20.184260772326336,-43.793065195521066,1161,08:00-18:00,Belo Horizonte
Cliente_Be_206,-19.983023265594934,-43.9601274407054,220,08:00-18:00,Belo Horizonte
Cliente_Be_207,-19.80952546034858,-44.026656724674545,472,08:00-18:00,Belo Horizonte
Cliente_Be_208,-20.06131756565704,-43.77874050882729,720,08:00-18:00,Belo Horizonte
Cliente_Be_209,-19.74320789206114,-43.610119906245046,526,08:00-18:00,Belo Horizonte
Cliente_Be_210,-20.021458541220177,-44.012201708082344,978,08:00-18:00,Belo Horizonte
Cliente_Be_211,-20.140886481362966,-44.18252749342724,1408,08:00-18:00,Belo Horizonte
Cliente_Be_212,-19.847431911077717,-44.16556304761367,67,08:00-18:00,Belo Horizonte
Cliente_Be_213,-19.859568863762455,-43.821193931647805,1186,08:00-18:00,Belo Horizonte
Cliente_Be_214,-19.910924930722462,-43.763638859774794,1089,08:00-18:00,Belo Horizonte
Cliente_Be_215,-19.870442147162215,-44.05700107839847,1427,08:00-18:00,Belo Horizonte
Cliente_Be_216,-19.802896512448687,-44.1157362159559,1367,08:00-18:00,Belo Horizonte
Cliente_Be_217,-19.952883224932812,-44.095546571931784,1396,08:00-18:00,Belo Horizonte
Cliente_Be_218,-19.583739964803883,-43.844286900975,928,08:00-18:00,Belo Horizonte
Cliente_Be_219,-20.21113933600744,-44.088381807263886,474,08:00-18:00,Belo Horizonte
Cliente_Be_220,-19.808637304214532,-43.99468258328524,527,08:00-18:00,Belo Horizonte
Cliente_Be_221,-19.88306545878895,-44.242189058582646,862,08:00-18:00,Belo Horizonte
Cliente_Be_222,-19.746233711795984,-43.83991185651466,1180,08:00-18:00,Belo Horizonte
Cliente_Be_223,-19.922337115143662,-43.8231185586988,1260,08:00-18:00,Belo Horizonte
Cliente_Be_224,-19.688207634776365,-43.926873220928755,1019,08:00-18:00,Belo Horizonte
Cliente_Be_225,-19.99420234057709,-44.11029193230335,819,08:00-18:00,Belo Horizonte
Cliente_Be_226,-19.96043424634676,-43.69099682592737,502,08:00-18:00,Belo Horizonte
Cliente_Be_227,-19.928208739779752,-43.88989710216935,1326,08:00-18:00,Belo Horizonte
Cliente_Be_228,-19.818685357573578,-43.91378040781628,1349,08:00-18:00,Belo Horizonte
Cliente_Be_229,-19.775893302708408,-43.93802820205311,51,08:00-18:00,Belo Horizonte
Cliente_Be_230,-19.91427821285657,-43.97773411983422,1347,08:00-18:00,Belo Horizonte
Cliente_Be_231,-19.83178161316845,-43.83497204081199,1434,08:00-18:00,Belo Horizonte
Cliente_Be_232,-19.67894895273608,-43.92496462611518,401,08:00-18:00,Belo Horizonte
Cliente_Be_233,-19.79629566274206,-43.80862068001965,649,08:00-18:00,Belo Horizonte
Cliente_Be_234,-19.763449410050786,-43.79548640259419,1359,08:00-18:00,Belo Horizonte
Cliente_Be_235,-19.977781987543917,-44.26457102750095,685,08:00-18:00,Belo Horizonte
Cliente_Be_236,-19.956144890623186,-43.94382136860781,260,08:00-18:00,Belo Horizonte
Cliente_Be_237,-20.00650099681233,-43.82818160053446,251,08:00-18:00,Belo Horizonte
Cliente_Be_238,-19.87690677111612,-44.077842460137056,65,08:00-18:00,Belo Horizonte
Cliente_Be_239,-19.826308328959588,-43.94993855657741,931,08:00-18:00,Belo Horizonte
Cliente_Ub_000,-18.699087110207795,-48.17569165091614,173,08:00-18:00,Uberlândia
Cliente_Ub_001,-18.69319749697778,-48.371853294177605,596,08:00-18:00,Uberlândia
Cliente_Ub_002,-18.78240148888225,-48.29356732309927,1252,08:00-18:00,Uberlândia
Cliente_Ub_003,-18.91592685535573,-48.42763964645604,1041,08:00-18:00,Uberlândia
Cliente_Ub_004,-18.7668715608863,-48.17134549302467,618,08:00-18:00,Uberlândia
Cliente_Ub_005,-18.762992151823592,-48.14124016082765,832,08:00-18:00,Uberlândia
Cliente_Ub_006,-18.900593128732975,-48.33404640536471,1243,08:00-18:00,Uberlândia
Cliente_Ub_007,-18.834557299490378,-48.25552494781335,1325,08:00-18:00,Uberlândia
Cliente_Ub_008,-19.11775997822206,-48.13040765122316,511,08:00-18:00,Uberlândia
Cliente_Ub_009,-18.701334269014588,-48.136451425652226,362,08:00-18:00,Uberlândia
Cliente_Ub_010,-18.787571729155456,-48.218781322882144,1405,08:00-18:00,Uberlândia
Cliente_Ub_011,-18.963982533526263,-48.47098452982425,339,08:00-18:00,Uberlândia
Cliente_Ub_012,-18.949924337024097,-48.38447916428849,1037,08:00-18:00,Uberlândia
Cliente_Ub_013,-18.919056985071666,-48.12599435805403,1023,08:00-18:00,Uberlândia
Cliente_Ub_014,-19.10612146176931,-48.520644666791995,290,08:00-18:00,Uberlândia
Cliente_Ub_015,-18.62478214429746,-48.44692362285403,231,08:00-18:00,Uberlândia
Cliente_Ub_016,-18.968665244506415,-48.504099076771666,886,08:00-18:00,Uberlândia
Cliente_Ub_017,-19.001730730569662,-48.2099731461285,515,08:00-18:00,Uberlândia
Cliente_Ub_018,-19.106046192459637,-48.52359478738778,795,08:00-18:00,Uberlândia
Cliente_Ub_019,-18.98963404292399,-48.27306337661138,1461,08:00-18:00,Uberlândia
Cliente_Ub_020,-19.00983978976476,-48.44539186740905,507,08:00-18:00,Uberlândia
Cliente_Ub_021,-19.027485756344266,-48.03404825902955,1276,08:00-18:00,Uberlândia
Cliente_Ub_022,-18.80849469074799,-48.38637035045413,580,08:00-18:00,Uberlândia
Cliente_Ub_023,-19.157862483537194,-48.36309642140967,216,08:00-18:00,Uberlândia
Cliente_Ub_024,-18.92465340252758,-48.36311542411822,611,08:00-18:00,Uberlândia
Cliente_Ub_025,-18.8781495251051,-48.20265750545039,149,08:00-18:00,Uberlândia
Cliente_Ub_026,-18.62915794427812,-48.24854199912907,1225,08:00-18:00,Uberlândia
Cliente_Ub_027,-19.23137581334575,-48.482526691034,1278,08:00-18:00,Uberlândia
Cliente_Ub_028,-18.838244103404772,-48.358794821856165,1177,08:00-18:00,Uberlândia
Cliente_Ub_029,-18.89877010799576,-48.1944844189445,596,08:00-18:00,Uberlândia
Cliente_Ub_030,-18.83160316084661,-48.22349996791662,1011,08:00-18:00,Uberlândia
Cliente_Ub_031,-18.78682346570171,-48.39907352948823,1386,08:00-18:00,Uberlândia
Cliente_Ub_032,-18.727326129604716,-48.1927705322951,993,08:00-18:00,Uberlândia
Cliente_Ub_033,-18.769221030977288,-48.348362407659145,163,08:00-18:00,Uberlândia
Cliente_Ub_034,-18.684325876246223,-48.07189757492435,848,08:00-18:00,Uberlândia
Cliente_Ub_035,-18.82652179550737,-48.48450460400426,676,08:00-18:00,Uberlândia
Cliente_Ub_036,-18.91329160047668,-48.18171203188606,890,08:00-18:00,Uberlândia
Cliente_Ub_037,-18.78721040768183,-48.53446543754575,358,08:00-18:00,Uberlândia
Cliente_Ub_038,-18.94452555843127,-48.276927244963574,876,08:00-18:00,Uberlândia
Cliente_Ub_039,-19.189431477782232,-48.29538689816177,552,08:00-18:00,Uberlândia
Cliente_Ub_040,-18.957884745408233,-48.259834129988825,557,08:00-18:00,Uberlândia
Cliente_Ub_041,-18.813184798106725,-48.165567517119214,442,08:00-18:00,Uberlândia
Cliente_Ub_042,-18.75750321820121,-48.14340254436198,653,08:00-18:00,Uberlândia
Cliente_Ub_043,-19.11087747711559,-48.24542875629231,356,08:00-18:00,Uberlândia
Cliente_Ub_044,-19.045269207008232,-48.114264209767015,323,08:00-18:00,Uberlândia
Cliente_Ub_045,-18.708685253990545,-48.28324282310256,810,08:00-18:00,Uberlândia
Cliente_Ub_046,-18.999133718339678,-48.22722221213686,955,08:00-18:00,Uberlândia
Cliente_Ub_047,-18.876859451731338,-48.06178789631609,123,08:00-18:00,Uberlândia
Cliente_Ub_048,-19.097312699316635,-48.55565047331503,1173,08:00-18:00,Uberlândia
Cliente_Ub_049,-18.88049569147992,-48.08186661907741,976,08:00-18:00,Uberlândia
Cliente_Ub_050,-18.80397184306062,-48.57225710227254,921,08:00-18:00,Uberlândia
Cliente_Ub_051,-19.127069559313227,-48.57943988227414,1158,08:00-18:00,Uberlândia
Cliente_Ub_052,-18.959553901197683,-48.260681672385466,701,08:00-18:00,Uberlândia
Cliente_Ub_053,-18.726971310165094,-48.27135289081426,434,08:00-18:00,Uberlândia
Cliente_Ub_054,-18.951610947384967,-47.97015648743313,586,08:00-18:00,Uberlândia
